system:index,Dormancy,EVI_Amplitude,EVI_Area,EVI_Minimum,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,census_date,country_iso3,elevation,hnd,latitude_of_centre,longitude_of_centre,plot_area,plot_id,plot_shape,tpi,wetmonths_era,.geo
00000000000000000049_0_0,17381.636363636364,4287.727272727273,300.8181818181818,1430.909090909091,17136.909090909092,17209.454545454544,17317.363636363636,17166.909090909092,17237.545454545456,17267.272727272728,229.0,122.0,61.0,2292.0,330.0,131.0,199.0,246.0,207.0,253.0,195.0,1295.0,265.0,13.0,93.0,756.0,45.0,370.0,52.0,2015,MOZ,667,0.0,-15.266153,36.699615,0.125663706143592,MAR_84,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_0_0,17381.636363636364,4287.727272727273,300.8181818181818,1430.909090909091,17136.909090909092,17209.454545454544,17317.363636363636,17166.909090909092,17237.545454545456,17267.272727272728,229.0,122.0,61.0,2292.0,330.0,131.0,199.0,246.0,207.0,253.0,195.0,1295.0,265.0,13.0,93.0,756.0,45.0,370.0,52.0,2015,MOZ,667,0.0,-15.264351,36.699651,0.125663706143592,MAR_85,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e_0_0,17381.636363636364,4287.727272727273,300.8181818181818,1430.909090909091,17136.909090909092,17209.454545454544,17317.363636363636,17166.909090909092,17237.545454545456,17267.272727272728,229.0,122.0,61.0,2292.0,330.0,131.0,199.0,246.0,207.0,253.0,195.0,1295.0,265.0,13.0,93.0,756.0,45.0,370.0,52.0,2015,MOZ,667,0.0,-15.25975,36.707569,0.125663706143592,MAR_90,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f_0_0,17381.636363636364,4287.727272727273,300.8181818181818,1430.909090909091,17136.909090909092,17209.454545454544,17317.363636363636,17166.909090909092,17237.545454545456,17267.272727272728,229.0,122.0,61.0,2292.0,330.0,131.0,199.0,246.0,207.0,253.0,195.0,1295.0,265.0,13.0,93.0,756.0,45.0,370.0,52.0,2015,MOZ,667,0.0,-15.261564,36.707556,0.125663706143592,MAR_91,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053_0_0,17381.636363636364,4287.727272727273,300.8181818181818,1430.909090909091,17136.909090909092,17209.454545454544,17317.363636363636,17166.909090909092,17237.545454545456,17267.272727272728,229.0,122.0,61.0,2292.0,330.0,131.0,199.0,246.0,207.0,253.0,195.0,1295.0,265.0,13.0,93.0,756.0,45.0,370.0,52.0,2015,MOZ,667,0.0,-15.253377,36.754705,0.125663706143592,MAR_97,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054_0_0,17381.636363636364,4287.727272727273,300.8181818181818,1430.909090909091,17136.909090909092,17209.454545454544,17317.363636363636,17166.909090909092,17237.545454545456,17267.272727272728,229.0,122.0,61.0,2292.0,330.0,131.0,199.0,246.0,207.0,253.0,195.0,1295.0,265.0,13.0,93.0,756.0,45.0,370.0,52.0,2015,MOZ,667,0.0,-15.222133,36.755998,0.125663706143592,MAR_99,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060_0_0,17372.727272727272,3747.090909090909,270.0,1466.3636363636363,17115.0,17189.545454545456,17309.909090909092,17150.636363636364,17221.363636363636,17256.272727272728,228.0,129.0,60.0,2463.0,333.0,119.0,214.0,247.0,205.0,254.0,191.0,1130.0,255.0,7.0,101.0,699.0,24.0,306.0,26.0,2015,MOZ,676,17.299988,-15.063113,36.99339,0.125663706143592,MAR_119,circle,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_0_0,17372.727272727272,3747.090909090909,270.0,1466.3636363636363,17115.0,17189.545454545456,17309.909090909092,17150.636363636364,17221.363636363636,17256.272727272728,228.0,129.0,60.0,2463.0,333.0,119.0,214.0,247.0,205.0,254.0,191.0,1130.0,255.0,7.0,101.0,699.0,24.0,306.0,26.0,2015,MOZ,676,17.299988,-15.061309,36.993413,0.125663706143592,MAR_120,circle,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062_0_0,17372.727272727272,3747.090909090909,270.0,1466.3636363636363,17115.0,17189.545454545456,17309.909090909092,17150.636363636364,17221.363636363636,17256.272727272728,228.0,129.0,60.0,2463.0,333.0,119.0,214.0,247.0,205.0,254.0,191.0,1130.0,255.0,7.0,101.0,699.0,24.0,306.0,26.0,2015,MOZ,676,17.299988,-15.095333,36.995054,0.125663706143592,MAR_121,circle,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063_0_0,17372.727272727272,3747.090909090909,270.0,1466.3636363636363,17115.0,17189.545454545456,17309.909090909092,17150.636363636364,17221.363636363636,17256.272727272728,228.0,129.0,60.0,2463.0,333.0,119.0,214.0,247.0,205.0,254.0,191.0,1130.0,255.0,7.0,101.0,699.0,24.0,306.0,26.0,2015,MOZ,676,17.299988,-15.092912,37.006439,0.125663706143592,MAR_122,circle,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064_0_0,17352.909090909092,2446.2727272727275,180.8181818181818,2452.6363636363635,17096.545454545456,17177.636363636364,17298.272727272728,17135.545454545456,17207.81818181818,17240.545454545456,226.0,107.0,59.0,2058.0,314.0,134.0,180.0,239.0,195.0,248.0,195.0,1166.0,303.0,1.0,113.0,780.0,4.0,308.0,4.0,2015,MOZ,762,0.0,-13.408128,37.383515,0.125663706143592,MAR_123,circle,-14,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065_0_0,17357.272727272728,2547.818181818182,189.45454545454547,2403.3636363636365,17096.0,17179.272727272728,17301.272727272728,17134.272727272728,17209.545454545456,17247.0,225.0,108.0,60.0,2044.0,312.0,134.0,178.0,239.0,195.0,247.0,195.0,1150.0,300.0,1.0,114.0,774.0,3.0,305.0,3.0,2015,MOZ,769,18.200012,-13.407528,37.400956,0.125663706143592,MAR_124,circle,-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066_0_0,17352.909090909092,2446.2727272727275,180.8181818181818,2452.6363636363635,17096.545454545456,17177.636363636364,17298.272727272728,17135.545454545456,17207.81818181818,17240.545454545456,226.0,107.0,59.0,2058.0,314.0,134.0,180.0,239.0,195.0,248.0,195.0,1166.0,303.0,1.0,113.0,780.0,4.0,308.0,4.0,2015,MOZ,762,0.0,-13.405948,37.385143,0.125663706143592,MAR_125,circle,-14,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067_0_0,17357.272727272728,2547.818181818182,189.45454545454547,2403.3636363636365,17096.0,17179.272727272728,17301.272727272728,17134.272727272728,17209.545454545456,17247.0,225.0,108.0,60.0,2044.0,312.0,134.0,178.0,239.0,195.0,247.0,195.0,1150.0,300.0,1.0,114.0,774.0,3.0,305.0,3.0,2015,MOZ,769,18.200012,-13.405359,37.402568,0.125663706143592,MAR_126,circle,-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068_0_0,17357.272727272728,2547.818181818182,189.45454545454547,2403.3636363636365,17096.0,17179.272727272728,17301.272727272728,17134.272727272728,17209.545454545456,17247.0,225.0,108.0,60.0,2044.0,312.0,134.0,178.0,239.0,195.0,247.0,195.0,1150.0,300.0,1.0,114.0,774.0,3.0,305.0,3.0,2015,MOZ,769,18.200012,-13.394995,37.39837,0.125663706143592,MAR_127,circle,-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_0_0,17357.272727272728,2547.818181818182,189.45454545454547,2403.3636363636365,17096.0,17179.272727272728,17301.272727272728,17134.272727272728,17209.545454545456,17247.0,225.0,108.0,60.0,2044.0,312.0,134.0,178.0,239.0,195.0,247.0,195.0,1150.0,300.0,1.0,114.0,774.0,3.0,305.0,3.0,2015,MOZ,769,18.200012,-13.392806,37.399996,0.125663706143592,MAR_128,circle,-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_0_0,17357.272727272728,2547.818181818182,189.45454545454547,2403.3636363636365,17096.0,17179.272727272728,17301.272727272728,17134.272727272728,17209.545454545456,17247.0,225.0,108.0,60.0,2044.0,312.0,134.0,178.0,239.0,195.0,247.0,195.0,1150.0,300.0,1.0,114.0,774.0,3.0,305.0,3.0,2015,MOZ,769,18.200012,-13.389484,37.414367,0.125663706143592,MAR_129,circle,-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b_0_0,17357.272727272728,2547.818181818182,189.45454545454547,2403.3636363636365,17096.0,17179.272727272728,17301.272727272728,17134.272727272728,17209.545454545456,17247.0,225.0,108.0,60.0,2044.0,312.0,134.0,178.0,239.0,195.0,247.0,195.0,1150.0,300.0,1.0,114.0,774.0,3.0,305.0,3.0,2015,MOZ,769,18.200012,-13.38732,37.416009,0.125663706143592,MAR_130,circle,-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c_0_0,17352.909090909092,2446.2727272727275,180.8181818181818,2452.6363636363635,17096.545454545456,17177.636363636364,17298.272727272728,17135.545454545456,17207.81818181818,17240.545454545456,226.0,107.0,59.0,2058.0,314.0,134.0,180.0,239.0,195.0,248.0,195.0,1166.0,303.0,1.0,113.0,780.0,4.0,308.0,4.0,2015,MOZ,762,0.0,-13.378111,37.380545,0.125663706143592,MAR_131,circle,-14,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d_0_0,17352.909090909092,2446.2727272727275,180.8181818181818,2452.6363636363635,17096.545454545456,17177.636363636364,17298.272727272728,17135.545454545456,17207.81818181818,17240.545454545456,226.0,107.0,59.0,2058.0,314.0,134.0,180.0,239.0,195.0,248.0,195.0,1166.0,303.0,1.0,113.0,780.0,4.0,308.0,4.0,2015,MOZ,762,0.0,-13.375935,37.382164,0.125663706143592,MAR_132,circle,-14,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_0_0,17357.272727272728,2547.818181818182,189.45454545454547,2403.3636363636365,17096.0,17179.272727272728,17301.272727272728,17134.272727272728,17209.545454545456,17247.0,225.0,108.0,60.0,2044.0,312.0,134.0,178.0,239.0,195.0,247.0,195.0,1150.0,300.0,1.0,114.0,774.0,3.0,305.0,3.0,2015,MOZ,769,18.200012,-13.374807,37.406821,0.125663706143592,MAR_133,circle,-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f_0_0,17357.272727272728,2547.818181818182,189.45454545454547,2403.3636363636365,17096.0,17179.272727272728,17301.272727272728,17134.272727272728,17209.545454545456,17247.0,225.0,108.0,60.0,2044.0,312.0,134.0,178.0,239.0,195.0,247.0,195.0,1150.0,300.0,1.0,114.0,774.0,3.0,305.0,3.0,2015,MOZ,769,18.200012,-13.373121,37.410778,0.125663706143592,MAR_134,circle,-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_0_0,17357.272727272728,2547.818181818182,189.45454545454547,2403.3636363636365,17096.0,17179.272727272728,17301.272727272728,17134.272727272728,17209.545454545456,17247.0,225.0,108.0,60.0,2044.0,312.0,134.0,178.0,239.0,195.0,247.0,195.0,1150.0,300.0,1.0,114.0,774.0,3.0,305.0,3.0,2015,MOZ,769,18.200012,-13.371005,37.410883,0.125663706143592,MAR_135,circle,-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071_0_0,17357.272727272728,2547.818181818182,189.45454545454547,2403.3636363636365,17096.0,17179.272727272728,17301.272727272728,17134.272727272728,17209.545454545456,17247.0,225.0,108.0,60.0,2044.0,312.0,134.0,178.0,239.0,195.0,247.0,195.0,1150.0,300.0,1.0,114.0,774.0,3.0,305.0,3.0,2015,MOZ,769,18.200012,-13.370005,37.410789,0.125663706143592,MAR_136,circle,-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072_0_0,17357.272727272728,2547.818181818182,189.45454545454547,2403.3636363636365,17096.0,17179.272727272728,17301.272727272728,17134.272727272728,17209.545454545456,17247.0,225.0,108.0,60.0,2044.0,312.0,134.0,178.0,239.0,195.0,247.0,195.0,1150.0,300.0,1.0,114.0,774.0,3.0,305.0,3.0,2015,MOZ,769,18.200012,-13.369503,37.427826,0.125663706143592,MAR_137,circle,-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_0_0,17357.272727272728,2547.818181818182,189.45454545454547,2403.3636363636365,17096.0,17179.272727272728,17301.272727272728,17134.272727272728,17209.545454545456,17247.0,225.0,108.0,60.0,2044.0,312.0,134.0,178.0,239.0,195.0,247.0,195.0,1150.0,300.0,1.0,114.0,774.0,3.0,305.0,3.0,2015,MOZ,769,18.200012,-13.367764,37.414477,0.125663706143592,MAR_138,circle,-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074_0_0,17357.272727272728,2547.818181818182,189.45454545454547,2403.3636363636365,17096.0,17179.272727272728,17301.272727272728,17134.272727272728,17209.545454545456,17247.0,225.0,108.0,60.0,2044.0,312.0,134.0,178.0,239.0,195.0,247.0,195.0,1150.0,300.0,1.0,114.0,774.0,3.0,305.0,3.0,2015,MOZ,769,18.200012,-13.366429,37.427873,0.125663706143592,MAR_139,circle,-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_0_0,17357.272727272728,2547.818181818182,189.45454545454547,2403.3636363636365,17096.0,17179.272727272728,17301.272727272728,17134.272727272728,17209.545454545456,17247.0,225.0,108.0,60.0,2044.0,312.0,134.0,178.0,239.0,195.0,247.0,195.0,1150.0,300.0,1.0,114.0,774.0,3.0,305.0,3.0,2015,MOZ,769,18.200012,-13.364697,37.414471,0.125663706143592,MAR_140,circle,-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076_0_0,17352.909090909092,2446.2727272727275,180.8181818181818,2452.6363636363635,17096.545454545456,17177.636363636364,17298.272727272728,17135.545454545456,17207.81818181818,17240.545454545456,226.0,107.0,59.0,2058.0,314.0,134.0,180.0,239.0,195.0,248.0,195.0,1166.0,303.0,1.0,113.0,780.0,4.0,308.0,4.0,2015,MOZ,762,0.0,-13.362556,37.386087,0.125663706143592,MAR_141,circle,-14,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077_0_0,17352.909090909092,2446.2727272727275,180.8181818181818,2452.6363636363635,17096.545454545456,17177.636363636364,17298.272727272728,17135.545454545456,17207.81818181818,17240.545454545456,226.0,107.0,59.0,2058.0,314.0,134.0,180.0,239.0,195.0,248.0,195.0,1166.0,303.0,1.0,113.0,780.0,4.0,308.0,4.0,2015,MOZ,762,0.0,-13.360803,37.391229,0.125663706143592,MAR_142,circle,-14,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078_0_0,17352.909090909092,2446.2727272727275,180.8181818181818,2452.6363636363635,17096.545454545456,17177.636363636364,17298.272727272728,17135.545454545456,17207.81818181818,17240.545454545456,226.0,107.0,59.0,2058.0,314.0,134.0,180.0,239.0,195.0,248.0,195.0,1166.0,303.0,1.0,113.0,780.0,4.0,308.0,4.0,2015,MOZ,762,0.0,-13.360388,37.387721,0.125663706143592,MAR_143,circle,-14,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079_0_0,17357.272727272728,2547.818181818182,189.45454545454547,2403.3636363636365,17096.0,17179.272727272728,17301.272727272728,17134.272727272728,17209.545454545456,17247.0,225.0,108.0,60.0,2044.0,312.0,134.0,178.0,239.0,195.0,247.0,195.0,1150.0,300.0,1.0,114.0,774.0,3.0,305.0,3.0,2015,MOZ,769,18.200012,-13.360155,37.421975,0.125663706143592,MAR_144,circle,-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a_0_0,17352.909090909092,2446.2727272727275,180.8181818181818,2452.6363636363635,17096.545454545456,17177.636363636364,17298.272727272728,17135.545454545456,17207.81818181818,17240.545454545456,226.0,107.0,59.0,2058.0,314.0,134.0,180.0,239.0,195.0,248.0,195.0,1166.0,303.0,1.0,113.0,780.0,4.0,308.0,4.0,2015,MOZ,762,0.0,-13.35776,37.391256,0.125663706143592,MAR_145,circle,-14,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b_0_0,17357.272727272728,2547.818181818182,189.45454545454547,2403.3636363636365,17096.0,17179.272727272728,17301.272727272728,17134.272727272728,17209.545454545456,17247.0,225.0,108.0,60.0,2044.0,312.0,134.0,178.0,239.0,195.0,247.0,195.0,1150.0,300.0,1.0,114.0,774.0,3.0,305.0,3.0,2015,MOZ,769,18.200012,-13.357089,37.421982,0.125663706143592,MAR_146,circle,-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c_0_0,17357.272727272728,2547.818181818182,189.45454545454547,2403.3636363636365,17096.0,17179.272727272728,17301.272727272728,17134.272727272728,17209.545454545456,17247.0,225.0,108.0,60.0,2044.0,312.0,134.0,178.0,239.0,195.0,247.0,195.0,1150.0,300.0,1.0,114.0,774.0,3.0,305.0,3.0,2015,MOZ,769,18.200012,-13.340217,37.433666,0.125663706143592,MAR_147,circle,-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d_0_0,17357.272727272728,2547.818181818182,189.45454545454547,2403.3636363636365,17096.0,17179.272727272728,17301.272727272728,17134.272727272728,17209.545454545456,17247.0,225.0,108.0,60.0,2044.0,312.0,134.0,178.0,239.0,195.0,247.0,195.0,1150.0,300.0,1.0,114.0,774.0,3.0,305.0,3.0,2015,MOZ,769,18.200012,-13.337872,37.395294,0.125663706143592,MAR_148,circle,-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_0_0,17357.272727272728,2547.818181818182,189.45454545454547,2403.3636363636365,17096.0,17179.272727272728,17301.272727272728,17134.272727272728,17209.545454545456,17247.0,225.0,108.0,60.0,2044.0,312.0,134.0,178.0,239.0,195.0,247.0,195.0,1150.0,300.0,1.0,114.0,774.0,3.0,305.0,3.0,2015,MOZ,769,18.200012,-13.336734,37.433706,0.125663706143592,MAR_149,circle,-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f_0_0,17357.272727272728,2547.818181818182,189.45454545454547,2403.3636363636365,17096.0,17179.272727272728,17301.272727272728,17134.272727272728,17209.545454545456,17247.0,225.0,108.0,60.0,2044.0,312.0,134.0,178.0,239.0,195.0,247.0,195.0,1150.0,300.0,1.0,114.0,774.0,3.0,305.0,3.0,2015,MOZ,769,18.200012,-13.335647,37.422342,0.125663706143592,MAR_150,circle,-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cb_0_0,17373.454545454544,3015.181818181818,229.54545454545453,1926.090909090909,17105.363636363636,17190.0,17306.727272727272,17148.81818181818,17221.363636363636,17257.090909090908,240.0,110.0,60.0,2012.0,329.0,147.0,182.0,250.0,211.0,263.0,211.0,1140.0,287.0,1.0,112.0,753.0,4.0,289.0,4.0,2015,MOZ,547,7.699951,-13.137297,37.451408,0.125663706143592,MAR_231,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cc_0_0,17373.454545454544,3015.181818181818,229.54545454545453,1926.090909090909,17105.363636363636,17190.0,17306.727272727272,17148.81818181818,17221.363636363636,17257.090909090908,240.0,110.0,60.0,2012.0,329.0,147.0,182.0,250.0,211.0,263.0,211.0,1140.0,287.0,1.0,112.0,753.0,4.0,289.0,4.0,2015,MOZ,547,7.699951,-13.135695,37.437989,0.125663706143592,MAR_232,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cd_0_0,17373.454545454544,3015.181818181818,229.54545454545453,1926.090909090909,17105.363636363636,17190.0,17306.727272727272,17148.81818181818,17221.363636363636,17257.090909090908,240.0,110.0,60.0,2012.0,329.0,147.0,182.0,250.0,211.0,263.0,211.0,1140.0,287.0,1.0,112.0,753.0,4.0,289.0,4.0,2015,MOZ,547,7.699951,-13.135193,37.426451,0.125663706143592,MAR_233,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ce_0_0,17373.454545454544,3015.181818181818,229.54545454545453,1926.090909090909,17105.363636363636,17190.0,17306.727272727272,17148.81818181818,17221.363636363636,17257.090909090908,240.0,110.0,60.0,2012.0,329.0,147.0,182.0,250.0,211.0,263.0,211.0,1140.0,287.0,1.0,112.0,753.0,4.0,289.0,4.0,2015,MOZ,547,7.699951,-13.13376,37.45117,0.125663706143592,MAR_234,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cf_0_0,17373.454545454544,3015.181818181818,229.54545454545453,1926.090909090909,17105.363636363636,17190.0,17306.727272727272,17148.81818181818,17221.363636363636,17257.090909090908,240.0,110.0,60.0,2012.0,329.0,147.0,182.0,250.0,211.0,263.0,211.0,1140.0,287.0,1.0,112.0,753.0,4.0,289.0,4.0,2015,MOZ,547,7.699951,-13.13213,37.4377,0.125663706143592,MAR_235,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d0_0_0,17373.454545454544,3015.181818181818,229.54545454545453,1926.090909090909,17105.363636363636,17190.0,17306.727272727272,17148.81818181818,17221.363636363636,17257.090909090908,240.0,110.0,60.0,2012.0,329.0,147.0,182.0,250.0,211.0,263.0,211.0,1140.0,287.0,1.0,112.0,753.0,4.0,289.0,4.0,2015,MOZ,547,7.699951,-13.131625,37.42621,0.125663706143592,MAR_236,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d1_0_0,17373.454545454544,3015.181818181818,229.54545454545453,1926.090909090909,17105.363636363636,17190.0,17306.727272727272,17148.81818181818,17221.363636363636,17257.090909090908,240.0,110.0,60.0,2012.0,329.0,147.0,182.0,250.0,211.0,263.0,211.0,1140.0,287.0,1.0,112.0,753.0,4.0,289.0,4.0,2015,MOZ,547,7.699951,-13.128389,37.467831,0.125663706143592,MAR_237,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d2_0_0,17373.454545454544,3015.181818181818,229.54545454545453,1926.090909090909,17105.363636363636,17190.0,17306.727272727272,17148.81818181818,17221.363636363636,17257.090909090908,240.0,110.0,60.0,2012.0,329.0,147.0,182.0,250.0,211.0,263.0,211.0,1140.0,287.0,1.0,112.0,753.0,4.0,289.0,4.0,2015,MOZ,547,7.699951,-13.127372,37.436689,0.125663706143592,MAR_238,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d3_0_0,17373.454545454544,3015.181818181818,229.54545454545453,1926.090909090909,17105.363636363636,17190.0,17306.727272727272,17148.81818181818,17221.363636363636,17257.090909090908,240.0,110.0,60.0,2012.0,329.0,147.0,182.0,250.0,211.0,263.0,211.0,1140.0,287.0,1.0,112.0,753.0,4.0,289.0,4.0,2015,MOZ,547,7.699951,-13.125349,37.471627,0.125663706143592,MAR_239,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d4_0_0,17373.454545454544,3015.181818181818,229.54545454545453,1926.090909090909,17105.363636363636,17190.0,17306.727272727272,17148.81818181818,17221.363636363636,17257.090909090908,240.0,110.0,60.0,2012.0,329.0,147.0,182.0,250.0,211.0,263.0,211.0,1140.0,287.0,1.0,112.0,753.0,4.0,289.0,4.0,2015,MOZ,547,7.699951,-13.121796,37.471373,0.125663706143592,MAR_240,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d5_0_0,17373.454545454544,3015.181818181818,229.54545454545453,1926.090909090909,17105.363636363636,17190.0,17306.727272727272,17148.81818181818,17221.363636363636,17257.090909090908,240.0,110.0,60.0,2012.0,329.0,147.0,182.0,250.0,211.0,263.0,211.0,1140.0,287.0,1.0,112.0,753.0,4.0,289.0,4.0,2015,MOZ,547,7.699951,-13.115447,37.46112,0.125663706143592,MAR_241,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d6_0_0,17373.454545454544,3015.181818181818,229.54545454545453,1926.090909090909,17105.363636363636,17190.0,17306.727272727272,17148.81818181818,17221.363636363636,17257.090909090908,240.0,110.0,60.0,2012.0,329.0,147.0,182.0,250.0,211.0,263.0,211.0,1140.0,287.0,1.0,112.0,753.0,4.0,289.0,4.0,2015,MOZ,547,7.699951,-13.113615,37.460981,0.125663706143592,MAR_242,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d7_0_0,17215.666666666668,2309.8888888888887,152.22222222222223,1951.6666666666667,16957.444444444445,17029.88888888889,17157.333333333332,16986.777777777777,17054.666666666668,17084.0,244.0,142.0,59.0,3122.0,349.0,112.0,237.0,278.0,214.0,278.0,199.0,563.0,107.0,9.0,77.0,300.0,34.0,300.0,35.0,2014,MOZ,71,3.2999954,-24.00767,32.842999,0.125663706143592,MAR_243,circle,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d8_0_0,17215.666666666668,2309.8888888888887,152.22222222222223,1951.6666666666667,16957.444444444445,17029.88888888889,17157.333333333332,16986.777777777777,17054.666666666668,17084.0,244.0,142.0,59.0,3122.0,349.0,112.0,237.0,278.0,214.0,278.0,199.0,563.0,107.0,9.0,77.0,300.0,34.0,300.0,35.0,2014,MOZ,71,3.2999954,-24.002431,32.871749,0.125663706143592,MAR_244,circle,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9_0_0,17215.666666666668,2309.8888888888887,152.22222222222223,1951.6666666666667,16957.444444444445,17029.88888888889,17157.333333333332,16986.777777777777,17054.666666666668,17084.0,244.0,142.0,59.0,3122.0,349.0,112.0,237.0,278.0,214.0,278.0,199.0,563.0,107.0,9.0,77.0,300.0,34.0,300.0,35.0,2014,MOZ,71,3.2999954,-24.000108,32.861936,0.125663706143592,MAR_245,circle,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000da_0_0,17215.666666666668,2309.8888888888887,152.22222222222223,1951.6666666666667,16957.444444444445,17029.88888888889,17157.333333333332,16986.777777777777,17054.666666666668,17084.0,244.0,142.0,59.0,3122.0,349.0,112.0,237.0,278.0,214.0,278.0,199.0,563.0,107.0,9.0,77.0,300.0,34.0,300.0,35.0,2014,MOZ,71,3.2999954,-23.997747,32.874729,0.125663706143592,MAR_246,circle,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000db_0_0,17215.666666666668,2309.8888888888887,152.22222222222223,1951.6666666666667,16957.444444444445,17029.88888888889,17157.333333333332,16986.777777777777,17054.666666666668,17084.0,244.0,142.0,59.0,3122.0,349.0,112.0,237.0,278.0,214.0,278.0,199.0,563.0,107.0,9.0,77.0,300.0,34.0,300.0,35.0,2014,MOZ,71,3.2999954,-23.992707,32.872003,0.125663706143592,MAR_247,circle,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dc_0_0,17215.666666666668,2309.8888888888887,152.22222222222223,1951.6666666666667,16957.444444444445,17029.88888888889,17157.333333333332,16986.777777777777,17054.666666666668,17084.0,244.0,142.0,59.0,3122.0,349.0,112.0,237.0,278.0,214.0,278.0,199.0,563.0,107.0,9.0,77.0,300.0,34.0,300.0,35.0,2014,MOZ,71,3.2999954,-23.983897,32.878139,0.125663706143592,MAR_248,circle,2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
